execution,n_panneaux,n_batteries
1,37,6
2,37,6
3,37,6
4,37,6
5,41,4
6,37,6
7,41,4
8,37,6
9,37,6
10,37,6
11,37,6
12,37,6
13,37,6
14,37,6
15,37,6
16,37,6
17,37,6
18,37,5
19,37,6
20,37,6
21,37,6
22,37,6
23,37,6
24,37,6
25,37,6
26,37,6
27,37,6
28,37,6
29,37,6
30,37,6
31,37,6
32,37,6
33,37,6
34,37,6
35,37,6
36,37,6
37,37,6
38,37,6
39,38,5
40,37,6
41,38,5
42,37,6
43,37,6
44,37,6
45,37,6
46,37,6
47,37,6
48,37,6
49,37,6
50,37,6
51,37,6
52,37,6
53,41,4
54,37,6
55,37,6
56,37,6
57,37,6
58,37,6
59,37,6
60,37,6
61,37,6
62,37,6
63,37,6
64,37,6
65,37,6
66,37,6
67,37,6
68,41,4
69,37,6
70,38,5
71,39,5
72,37,6
73,37,6
74,37,6
75,37,6
76,37,6
77,37,6
78,37,6
79,38,5
80,37,6
81,37,6
82,37,6
83,37,6
84,37,6
85,37,6
86,37,6
87,37,6
88,37,6
89,37,6
90,37,5
91,37,6
92,37,6
93,37,6
94,37,6
95,41,4
96,37,6
97,37,6
98,37,6
99,37,6
100,37,6
101,37,6
102,37,6
103,37,6
104,37,6
105,37,6
106,37,6
107,37,6
108,37,6
109,37,6
110,37,6
111,37,6
112,37,6
113,37,6
114,41,4
115,37,6
116,37,6
117,37,6
118,37,6
119,37,6
120,37,6
121,37,6
122,37,6
123,37,6
124,37,6
125,37,6
126,37,6
127,37,6
128,37,6
129,37,6
130,37,6
131,37,6
132,37,6
133,37,6
134,37,6
135,37,6
136,37,6
137,37,6
138,41,4
139,37,6
140,37,6
141,37,6
142,37,6
143,37,6
144,37,6
145,37,6
146,37,6
147,37,6
148,37,6
149,37,6
150,37,6
151,37,6
152,37,6
153,37,6
154,37,6
155,37,6
156,37,6
157,37,6
158,37,6
159,37,6
160,37,6
161,37,6
162,37,6
163,37,6
164,37,6
165,37,6
166,37,6
167,37,6
168,37,6
169,37,6
170,37,5
171,37,6
172,37,6
173,37,6
174,37,6
175,37,6
176,37,6
177,37,6
178,37,6
179,37,6
180,37,6
181,37,6
182,37,6
183,37,6
184,41,4
185,37,6
186,37,6
187,37,6
188,37,6
189,37,6
190,37,6
191,37,6
192,41,4
193,37,6
194,37,6
195,37,6
196,37,6
197,37,6
198,41,4
199,37,6
200,37,6
201,37,6
202,37,6
203,37,6
204,37,6
205,37,6
206,37,6
207,37,6
208,38,5
209,37,6
210,37,6
211,37,6
212,37,6
213,37,6
214,37,6
215,37,6
216,37,6
217,37,6
218,37,6
219,37,6
220,37,6
221,37,6
222,37,6
223,37,6
224,41,4
225,37,6
226,37,6
227,37,6
228,41,4
229,37,6
230,37,6
231,41,4
232,37,6
233,37,6
234,37,6
235,37,6
236,37,6
237,37,6
238,37,6
239,37,6
240,38,5
241,37,6
242,37,6
243,37,6
244,37,6
245,37,6
246,37,6
247,41,4
248,37,6
249,41,4
250,37,6
251,38,5
252,37,6
253,37,6
254,37,6
255,37,6
256,37,6
257,37,6
258,37,6
259,37,6
260,37,6
261,37,6
262,37,6
263,37,6
264,37,6
265,37,6
266,37,6
267,37,6
268,37,6
269,37,6
270,37,6
271,37,6
272,37,6
273,41,4
274,37,6
275,37,6
276,38,5
277,37,6
278,37,6
279,37,6
280,37,6
281,37,6
282,37,6
283,37,6
284,37,6
285,37,6
286,37,6
287,37,6
288,37,6
289,37,6
290,37,6
291,37,6
292,37,6
293,37,6
294,37,6
295,37,6
296,37,6
297,41,4
298,37,6
299,37,6
300,37,6
301,41,4
302,37,6
303,37,6
304,37,6
305,37,6
306,37,6
307,37,6
308,37,6
309,37,6
310,38,5
311,37,6
312,37,6
313,37,6
314,37,6
315,37,5
316,37,6
317,37,6
318,37,6
319,37,6
320,37,6
321,37,6
322,37,6
323,37,6
324,37,6
325,37,6
326,37,6
327,37,6
328,37,6
329,37,6
330,37,6
331,37,6
332,37,6
333,37,6
334,37,6
335,37,6
336,37,6
337,37,6
338,37,6
339,37,6
340,37,6
341,37,6
342,37,6
343,37,6
344,37,6
345,37,6
346,37,6
347,37,6
348,38,5
349,37,6
350,37,6
351,37,6
352,37,6
353,37,6
354,37,6
355,37,6
356,41,4
357,37,6
358,37,6
359,37,5
360,37,6
361,37,6
362,37,6
363,37,6
364,37,6
365,37,6
366,37,6
367,37,6
368,37,6
369,37,6
370,37,6
371,37,6
372,37,6
373,37,6
374,37,6
375,41,4
376,37,6
377,37,6
378,37,6
379,37,5
380,37,6
381,37,6
382,37,6
383,37,6
384,37,6
385,37,6
386,37,6
387,37,6
388,38,5
389,37,6
390,37,6
391,37,6
392,37,6
393,37,6
394,37,6
395,38,5
396,37,6
397,37,5
398,37,6
399,37,6
400,37,6
401,37,6
402,37,6
403,37,6
404,37,6
405,37,6
406,37,6
407,37,6
408,37,6
409,37,6
410,37,6
411,37,6
412,37,6
413,37,6
414,37,6
415,37,6
416,37,6
417,37,6
418,37,6
419,37,6
420,37,6
421,37,6
422,37,6
423,37,6
424,37,6
425,37,6
426,37,6
427,37,6
428,37,6
429,37,6
430,37,6
431,37,6
432,37,6
433,37,6
434,37,6
435,37,6
436,37,6
437,37,6
438,37,6
439,37,6
440,38,5
441,37,6
442,37,6
443,37,6
444,37,6
445,37,6
446,37,6
447,37,6
448,37,6
449,37,6
450,37,6
451,37,6
452,37,6
453,37,6
454,37,6
455,37,6
456,37,6
457,37,6
458,37,6
459,37,6
460,37,6
461,37,6
462,41,4
463,37,6
464,37,5
465,37,6
466,37,6
467,37,6
468,37,6
469,37,6
470,37,6
471,37,6
472,37,6
473,37,6
474,37,6
475,37,6
476,37,6
477,37,6
478,37,6
479,37,6
480,37,6
481,37,6
482,38,5
483,37,6
484,37,6
485,37,6
486,37,5
487,37,6
488,37,6
489,37,6
490,37,6
491,37,6
492,37,6
493,37,6
494,37,6
495,37,6
496,37,6
497,37,6
498,37,6
499,37,5
500,37,6
501,37,6
502,37,6
503,37,6
504,38,5
505,37,6
506,37,5
507,37,6
508,37,6
509,37,6
510,37,6
511,37,6
512,37,6
513,37,6
514,37,6
515,37,6
516,37,6
517,37,6
518,41,4
519,37,6
520,37,6
521,37,6
522,37,6
523,37,6
524,37,6
525,37,6
526,37,6
527,37,6
528,37,6
529,37,6
530,37,6
531,37,6
532,37,6
533,37,6
534,37,6
535,37,6
536,37,6
537,37,6
538,37,6
539,37,6
540,37,6
541,37,6
542,41,4
543,37,6
544,37,6
545,37,6
546,37,6
547,41,4
548,37,6
549,37,6
550,37,6
551,37,6
552,37,6
553,37,6
554,37,6
555,37,6
556,37,6
557,37,6
558,37,6
559,41,4
560,37,6
561,37,6
562,37,6
563,37,5
564,37,6
565,37,6
566,37,6
567,37,6
568,37,6
569,37,6
570,37,6
571,37,6
572,37,6
573,37,6
574,37,6
575,37,6
576,37,6
577,37,6
578,37,6
579,37,6
580,37,6
581,37,6
582,37,5
583,37,6
584,37,6
585,37,6
586,37,6
587,37,6
588,37,6
589,37,6
590,37,6
591,37,6
592,37,6
593,37,6
594,37,6
595,37,6
596,37,6
597,37,6
598,38,5
599,37,6
600,37,6
601,37,6
602,41,4
603,37,5
604,37,6
605,37,6
606,37,6
607,37,6
608,37,6
609,37,6
610,37,6
611,37,6
612,37,6
613,37,6
614,37,6
615,37,6
616,37,6
617,37,6
618,37,6
619,38,5
620,41,4
621,37,6
622,37,6
623,37,6
624,37,6
625,37,6
626,37,6
627,37,6
628,37,6
629,37,6
630,37,6
631,37,6
632,42,4
633,37,6
634,37,6
635,37,6
636,37,6
637,37,6
638,37,6
639,37,6
640,37,6
641,41,4
642,37,6
643,37,6
644,37,6
645,37,6
646,37,6
647,37,6
648,37,6
649,37,6
650,37,6
651,37,6
652,37,6
653,37,6
654,37,6
655,37,6
656,37,6
657,37,6
658,41,4
659,37,6
660,37,6
661,37,6
662,37,6
663,37,6
664,37,6
665,37,6
666,37,6
667,37,6
668,37,6
669,37,6
670,38,5
671,37,6
672,37,6
673,37,5
674,37,6
675,37,6
676,37,6
677,41,4
678,37,6
679,37,6
680,37,6
681,37,6
682,37,6
683,37,6
684,37,6
685,37,6
686,37,6
687,37,6
688,37,6
689,37,6
690,37,6
691,37,6
692,41,4
693,37,6
